"","identity","degree","betweenness","eigenvector","Kingdom","Phylum","Class","Order","Family","Genus"
"244366","Klebsiella variicola",39,96638,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella"
"2675773","Kosakonia Enterobacteriaceae endosymbiont of Donacia cincticornis",27,105721,0.596611757134487,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kosakonia"
"42817","Corynebacterium argentoratense",24,50311,0.536241699344831,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"239935","Akkermansia muciniphila",24,90586,0.480028193859185,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"2593655","Shewanella sp. YLB-06",23,56658,0.586451648774813,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
"1940690","Idiomarina andamanensis",23,73265,0.583235267119178,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Idiomarinaceae","Idiomarina"
"2487928","Paenibacillus sp. M-152",22,63043,0.680635417085924,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"69220","Lelliottia nimipressuralis",22,45574,0.598330927487424,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Lelliottia"
"473531","Nitrosococcus watsonii",22,46668,0.649873452268055,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Nitrosococcus"
"1670455","Sulfodiicoccus acidiphilus",22,56531,0.69919046273396,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfodiicoccus"
"49118","Candidatus Arthromitus sp. SFB-mouse",21,54535,0.642992675321406,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Candidatus Arthromitus"
"2774461","Pseudomonas sp. IzPS32d",21,40186,0.610939473816833,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"2014541","Halomonas sp. N3-2A",21,63933,0.621382883132989,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas"
"84590","Taylorella asinigenitalis",21,41312,0.487045782044211,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Taylorella"
"641148","Neisseria sp. oral taxon 014",21,41129,0.558448712658034,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria"
"850","Fusobacterium mortiferum",21,31462,0.403348260481383,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"174","Leptospira borgpetersenii",21,73322,0.407203975820221,"Bacteria","Spirochaetes","Spirochaetia","Leptospirales","Leptospiraceae","Leptospira"
"1078905","Candidatus Nitrosotalea devanaterra",21,44585,0.603040874665184,"Archaea","Thaumarchaeota","","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosotalea"
"164514","Blattabacterium punctulatus",21,75165,0.540493395927362,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Blattabacteriaceae","Blattabacterium"
"2590777","Rhizobium sp. NIBRBAC000502774",21,45103,0.631492913529404,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"1018","Capnocytophaga ochracea",20,71841,0.34941271231494,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga"
"2564099","Ruminococcus sp. JE7A12",20,52291,0.393936966949347,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"1162633","Weissella diestrammenae",20,58951,0.371489507912694,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella"
"2079792","Mycetocola sp. 449",20,67775,0.328658846476689,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Mycetocola"
"2726117","Mycoplasma sp. C264-NAS",20,37730,0.567390265491329,"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma"
"1827144","Synechococcus sp. NIES-970",20,54664,0.437497093481679,"Bacteria","Cyanobacteria","","Synechococcales","Synechococcaceae","Synechococcus"
"1231049","Arsenophonus endosymbiont of Aphis craccivora",20,52549,0.313437558958441,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Arsenophonus"
"1929246","Sodalis endosymbiont of Henestaris halophilus",20,37312,0.689219179009763,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Sodalis"
"118613","Pseudomonas sp. B10",20,47036,0.457404444865736,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"299583","Francisella orientalis",20,53670,0.537285715858307,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Francisellaceae","Francisella"
"2508307","Leisingera sp. NJS204",20,37840,0.62446183190437,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Leisingera"
"2601646","Candidatus Sneabacter namystus",20,62437,0.462780332575267,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Candidatus Sneabacter"
"2016373","Thermococcus sp. IRI35c",20,42890,0.40073249158444,"Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus"
"2280","Staphylothermus marinus",20,49196,0.364947974647552,"Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Staphylothermus"
"1653479","Rhodococcus sp. PBTS 2",20,37546,0.723428110423371,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"316278","Synechococcus sp. RCC307",20,35257,0.529894626935992,"Bacteria","Cyanobacteria","","Synechococcales","Synechococcaceae","Synechococcus"
