"","identity","degree","betweenness","eigenvector","Kingdom","Phylum","Class","Order","Family","Genus"
"971","Selenomonas ruminantium",13,104192,3.54570489174149e-05,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas"
"78448","Bifidobacterium pullorum",13,80380,7.00526418444233e-06,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"1515","Hungateiclostridium thermocellum",12,96587,3.35038057530641e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae","Hungateiclostridium"
"698828","Kushneria konosiri",12,115282,1.46660430462865e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Kushneria"
"266779","Chelativorans sp. BNC1",12,107298,2.64876288449081e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Chelativorans"
"74033","Antarctobacter heliothermus",12,146373,3.18901250695028e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Antarctobacter"
"28112","Tannerella forsythia",11,41006,1.11008356554094e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Tannerella"
"39485","Lachnospira eligens",11,65063,3.17445487375798e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira"
"2714938","Nocardioides sp. HDW12A",11,78457,3.72662351526079e-06,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"59814","Pantoea dispersa",11,65775,4.93888927897878e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"1031538","Neptunomonas concharum",11,86833,4.37515045663856e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Neptunomonas"
"1543721","Sedimenticola thiotaurini",11,70047,2.79802728607139e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Sedimenticola"
"2666132","Desulfovibrio sp. 86",11,53855,0.000439272517011577,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"1120045","Rhizobium grahamii",11,77285,2.26578150474586e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"1325120","Bradyrhizobium sp. CCBAU 53421",11,77107,1.31217993326349e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"2789216","Labrys sp. KNU-23",11,95042,4.44975513020212e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Labrys"
"682998","Azospirillum ramasamyi",11,104809,6.93992191749073e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Azospirillum"
"488447","Burkholderia contaminans",11,88669,7.1282163049483e-06,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia"
"28135","Prevotella oris",10,28523,7.78592155699332e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"2570561","Psychroserpens sp. NJDZ02",10,56996,1.60036108390936e-06,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Psychroserpens"
"1264","Ruminococcus albus",10,65670,8.80080483405638e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"1255","Pediococcus pentosaceus",10,44826,3.19950945554212e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus"
"1694","Bifidobacterium pseudolongum",10,79698,5.60297757491009e-06,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"2724914","Leifsonia sp. PS1209",10,46471,3.09443143208692e-06,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leifsonia"
"120959","Mycobacterium kubicae",10,75602,1.9809732559063e-05,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"178339","Pauljensenia hongkongensis",10,46442,0.021008651197396,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Pauljensenia"
"2120","Mycoplasma neurolyticum",10,55300,1.23405016501049e-06,"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma"
"61645","Enterobacter asburiae",10,25461,1.01588070408667e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter"
"615","Serratia marcescens",10,46443,2.53585018404328e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia"
