"","identity","degree","betweenness","eigenvector","Kingdom","Phylum","Class","Order","Family","Genus"
"1280","Staphylococcus aureus",14,16517,1,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"1398","Bacillus coagulans",13,54369,0.000596832643284915,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"351052","Alkalilimnicola ehrlichii",12,55516,0.000183503437878017,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Alkalilimnicola"
"60548","Paraburkholderia graminis",12,59986,0.000125188403639696,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia"
"180","Leptospirillum ferrooxidans",12,63809,0.000374100451855169,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Leptospirillum"
"1406","Paenibacillus polymyxa",11,34626,0.00535460747405014,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"59814","Pantoea dispersa",11,52363,0.00019338462810822,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"202950","Acinetobacter baylyi",11,39621,0.000137672081302767,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"930805","Halioglobus japonicus",11,38092,0.00147895331311867,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus"
"1076588","Thiolapillus brandeum",11,33504,0.000105621253137416,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Thiolapillus"
"1592106","Terriglobus albidus",11,51799,9.50110342083009e-05,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Terriglobus"
"337090","Chlorobium chlorochromatii",10,33969,5.18903908334315e-05,"Bacteria","Chlorobi","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobium"
"1796620","Acutalibacter muris",10,29436,0.00440888665743377,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acutalibacter"
"905","Acidaminococcus fermentans",10,31497,0.000158636964893871,"Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus"
"1532905","Paenibacillus sp. CAA11",10,31333,9.0163710262718e-05,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
