"","identity","degree","betweenness","eigenvector","Kingdom","Phylum","Class","Order","Family","Genus"
"185007","Pseudobutyrivibrio xylanivorans",12,105526,0.990988978517108,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Pseudobutyrivibrio"
"2070463","Lysinibacillus sp. SGAir0095",12,214457,0.000212492427629126,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Lysinibacillus"
"28112","Tannerella forsythia",10,115821,0.000922100634210888,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Tannerella"
"36874","Porphyromonas cangingivalis",9,114830,0.000906275039476221,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"1561","Clostridium baratii",9,15615,5.78141249859434e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"2086585","Christensenella sp. Marseille-P3954",9,108224,0.00907324198219782,"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella"
"562","Escherichia coli",9,40859,0.000654097935309419,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia"
"208962","Escherichia albertii",9,48432,0.000332124512783801,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia"
"2583823","Desulfovibrio sp. IOR2",9,60918,0.000105451781681816,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"28448","Komagataeibacter xylinus",9,139005,6.98694529841826e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Komagataeibacter"
"2133944","Alloprevotella sp. E39",8,80985,1.76158146244074e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"1642647","Proteiniphilum saccharofermentans",8,33835,0.00430488455705057,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum"
"393921","Porphyromonas crevioricanis",8,130808,0.000518869182539314,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"1356852","Hymenobacter sp. APR13",8,167030,4.58757069924006e-06,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"831","Butyrivibrio fibrisolvens",8,85102,0.525460678421681,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
