"","identity","degree","betweenness","eigenvector","Kingdom","Phylum","Class","Order","Family","Genus"
"1280","Staphylococcus aureus",17,285890,1.49635629988864e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"881","Desulfovibrio vulgaris",14,176226,3.43272694094756e-07,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"29322","Eubacterium [Eubacterium] cellulosolvens",13,352614,0.00358485905267087,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium"
"1642647","Proteiniphilum saccharofermentans",11,102019,0.000216405438070887,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum"
"1871021","Lachnoclostridium phocaeense",10,249856,0.000933152401574822,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"185007","Pseudobutyrivibrio xylanivorans",10,142604,0.00918770024118895,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Pseudobutyrivibrio"
"617123","Lachnoanaerobaculum umeaense",10,76345,0.00304095589732707,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum"
"1613","Limosilactobacillus fermentum",10,434372,0.0137782327608554,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus"
"36874","Porphyromonas cangingivalis",9,65327,8.21425170747437e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"2518177","Flavobacterium sangjuense",9,209624,2.95948659338175e-07,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"1303","Streptococcus oralis",9,29634,0.0110841800064191,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"562","Escherichia coli",9,92182,1.93680167211375e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia"
"851","Fusobacterium nucleatum",9,122803,0.000133759936539709,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"2585118","Alistipes communis",8,101852,4.91111081262068e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"28131","Prevotella intermedia",8,106155,1.90354146323115e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"76123","Prevotella enoeca",8,45803,6.07847450681518e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"28112","Tannerella forsythia",8,240552,3.79706603446389e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Tannerella"
"2590900","Tenuifilum thalassicum",8,55304,9.70574049715034e-07,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tenuifilaceae","Tenuifilum"
"252307","Robiginitalea biformata",8,62634,1.5650170854969e-07,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Robiginitalea"
"2321403","Chryseolinea soli",8,336313,3.82001493319623e-06,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Fulvivirgaceae","Chryseolinea"
"797291","Sphingobacterium lactis",8,43178,8.67239735922796e-07,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"1813871","Panacibacter ginsenosidivorans",8,106792,1.18054035033857e-06,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Panacibacter"
