"","identity","degree","betweenness","eigenvector","Kingdom","Phylum","Class","Order","Family","Genus"
"881","Desulfovibrio vulgaris",11,15653,3.18603493957669e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"1542","Clostridium novyi",10,52158,4.60787204142204e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"158787","Bifidobacterium scardovii",10,211858,1.04565994487706e-06,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"2026199","Paraburkholderia aromaticivorans",10,191837,2.56892691550532e-06,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia"
"28129","Prevotella denticola",9,32289,0.00317017114573321,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"2487074","Kaistella daneshvariae",9,209589,1.40946698710223e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Kaistella"
"1912897","Blautia argi",9,31378,0.000274537659134808,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"1515","Hungateiclostridium thermocellum",9,159806,2.77436135804838e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae","Hungateiclostridium"
"38289","Corynebacterium jeikeium",9,230303,1.23555366014367e-06,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"2774055","Kluyvera genomosp. 3",9,77458,0.00164036648072056,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kluyvera"
"93219","Pandoraea norimbergensis",9,142927,1.20966125073014e-05,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Pandoraea"
"2509614","Rhodoferax sediminis",9,197255,1.49052064733434e-05,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax"
"1291540","Candidatus Methanomethylophilus alvus",9,111125,1.44277166094689e-06,"Archaea","Euryarchaeota","Thermoplasmata","Methanomassiliicoccales","Candidatus Methanomethylophilaceae","Candidatus Methanomethylophilus"
"821","Phocaeicola vulgatus",8,40674,0.166041451301802,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola"
"1642647","Proteiniphilum saccharofermentans",8,18821,0.0294267530741121,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum"
"2172098","Flavobacterium pallidum",8,72920,0.000141417150531667,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"1484116","Hymenobacter sp. PAMC 26554",8,73499,0.000146967186654623,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"2697562","Hymenobacter sp. BT182",8,95645,0.000127746878133107,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"833","Fibrobacter succinogenes",8,155253,1.21699917658945e-05,"Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"2696063","Anaerocolumna sp. CBA3638",8,27562,0.000297317958564764,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerocolumna"
"2736602","Anaerocolumna sp. CTTW",8,33450,0.000245714346191036,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerocolumna"
"394958","Clostridium taeniosporum",8,31740,1.20122713051534e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"885581","Desulfosporosinus acidiphilus",8,80150,3.94803821074683e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus"
"69823","Selenomonas sputigena",8,36081,8.17863700239086e-06,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas"
"2023772","Paenibacillus sp. RUD330",8,162013,3.10211499438202e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"1449","Amphibacillus xylanus",8,134934,2.09685795021497e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Amphibacillus"
"1290","Staphylococcus hominis",8,144439,2.05988804530467e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"1303","Streptococcus oralis",8,5679,1.44432866690918e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"1613","Limosilactobacillus fermentum",8,99146,1.17253732913699e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus"
