"","identity","degree","betweenness","eigenvector","Kingdom","Phylum","Class","Order","Family","Genus"
"287","Pseudomonas aeruginosa",22,52669,0.868124546541874,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"1159327","Pontimonas salivibrio",21,60144,0.631949639593101,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Pontimonas"
"1809","Mycobacterium ulcerans",21,78437,0.856491194395537,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"71997","Thermococcus gorgonarius",21,71555,0.806782029728043,"Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus"
"13773","Pyrobaculum aerophilum",21,69407,0.8442560467064,"Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Pyrobaculum"
"152331","Lentilactobacillus Lactobacillus parabuchneri",20,53020,0.682793791401095,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus"
"1188228","Gloeomargarita lithophora",20,49322,0.929621402015759,"Bacteria","Cyanobacteria","Gloeobacteria","Gloeoemargaritales","Gloeomargaritaceae","Gloeomargarita"
"60481","Shewanella sp. MR-7",20,57483,0.654036784051127,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
"192843","Rhodoferax ferrireducens",20,71899,0.417999843223442,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax"
"2215","Methanosarcina vacuolata",20,50069,0.936355455325,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina"
"2264","Thermococcus celer",20,56558,0.452619386932984,"Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus"
"60480","Shewanella sp. MR-4",20,46613,0.77656324457622,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
"47850","Micromonospora aurantiaca",19,61762,0.418974433466812,"Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora"
"28152","Yersinia kristensenii",19,50662,0.464793460903699,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia"
"414","Methylococcus capsulatus",19,56422,0.691948708060962,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylococcus"
"1197717","Cloacibacillus porcorum",19,43066,0.808665410900179,"Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus"
"2173","Methanobrevibacter smithii",19,60066,0.880700132713522,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter"
"1702170","Citrobacter sp. FDAARGOS_156",19,36301,0.768386956859823,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter"
"367825","Cupriavidus malaysiensis",19,59999,0.558218840491651,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
"515256","Bartonella sp. 1-1C",19,47546,0.761847602538866,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella"
"1687","Bifidobacterium coryneforme",18,59821,0.528260893039713,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"312883","Raphidiopsis curvata",18,56513,0.602110101528837,"Bacteria","Cyanobacteria","","Nostocales","Aphanizomenonaceae","Raphidiopsis"
"32046","Synechococcus elongatus",18,57295,0.66276140520235,"Bacteria","Cyanobacteria","","Synechococcales","Synechococcaceae","Synechococcus"
"1080068","Leptolyngbya sp. O-77",18,68382,0.55631665826584,"Bacteria","Cyanobacteria","","Synechococcales","Leptolyngbyaceae","Leptolyngbya"
"1827285","Acinetobacter sp. MYb10",18,38818,0.648274407454359,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2698686","Shewanella sp. Arc9-LZ",18,47109,0.362409982163499,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
"766224","Vibrio jasicida",18,58816,0.554081654448161,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"300876","Vibrio europaeus",18,34296,0.863453963027568,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"114186","Candidatus Carsonella ruddii",18,63297,0.649986690728461,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Candidatus Carsonella"
"777","Coxiella burnetii",18,48200,0.602167655120783,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Coxiella"
"447471","Simiduia agarivorans",18,50531,0.449666306996664,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Simiduia"
"2066024","Candidatus Cytomitobacter primus",18,59153,0.520204750667808,"Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","Candidatus Cytomitobacter"
"2601575","Candidatus Cytomitobacter indipagum",18,35586,0.64803063072922,"Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","Candidatus Cytomitobacter"
"1715720","Diaphorobacter ruginosibacter",18,39112,0.448731093361765,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Diaphorobacter"
"28184","Leptospira weilii",18,48587,0.556281113287345,"Bacteria","Spirochaetes","Spirochaetia","Leptospirales","Leptospiraceae","Leptospira"
"53952","Thermococcus peptonophilus",18,55665,0.493486205978438,"Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus"
"2285","Sulfolobus acidocaldarius",18,36223,0.682128004068074,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus"
"69223","Dickeya paradisiaca",18,50528,0.522588645248104,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya"
"1546149","Diaphorobacter polyhydroxybutyrativorans",18,30712,0.760632537851613,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Diaphorobacter"
"313590","Dokdonia sp. MED134",17,47123,0.395840931707219,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Dokdonia"
"1868325","Prosthecochloris sp. CIB 2401",17,50543,0.585748609548374,"Bacteria","Chlorobi","Chlorobia","Chlorobiales","Chlorobiaceae","Prosthecochloris"
"1981510","Monoglobus pectinilyticus",17,50598,0.462485708554002,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus"
"1930071","Methylomusa anaerophila",17,31579,0.424716327882255,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Sporomusaceae","Methylomusa"
"1603","Amylolactobacillus amylophilus",17,29711,0.565139550160769,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus"
"49118","Candidatus Arthromitus sp. SFB-mouse",17,36163,0.480041275229356,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Candidatus Arthromitus"
"29314","Mycolicibacter hiberniae",17,29707,0.454619734918399,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycolicibacter"
"2594007","Rhodococcus sp. WB9",17,52994,0.370328449027913,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"499555","Dietzia timorensis",17,34730,0.4078250260652,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia"
"134821","Ureaplasma parvum",17,42858,0.478765535455561,"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma"
"37692","Candidatus Phytoplasma mali",17,31774,0.700114003267368,"Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Candidatus Phytoplasma"
"61435","Dehalococcoides mccartyi",17,49716,0.612748697249638,"Bacteria","Chloroflexi","Dehalococcoidia","Dehalococcoidales","Dehalococcoidaceae","Dehalococcoides"
"1920110","Citrobacter sp. CFNIH10",17,22818,0.766729156711575,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter"
"2282310","Leclercia sp. W6",17,33270,0.706706705462651,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Leclercia"
"1505597","Candidatus Blochmannia Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus",17,39723,0.539498053411364,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Candidatus Blochmannia"
"556","Dickeya chrysanthemi",17,35405,0.51306716494012,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya"
"1929246","Sodalis endosymbiont of Henestaris halophilus",17,62773,0.499728511189914,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Sodalis"
"1615674","Pseudomonas lactis",17,40394,0.53841554211311,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"1096243","Idiomarina piscisalsi",17,47318,0.573355747166858,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Idiomarinaceae","Idiomarina"
"50719","Vibrio diabolicus",17,54095,0.373697655547431,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"1891186","Vibrio aphrogenes",17,40603,0.692177990526173,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"1927128","Enterovibrio Candidatus Enterovibrio luxaltus",17,43167,0.404786984873695,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Enterovibrio"
"2005262","Legionella endosymbiont of Polyplax serrata",17,50011,0.532303567260629,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"2500548","Acetobacter oryzoeni",17,47655,0.449613066498119,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"786","Rickettsia akari",17,40765,0.569685950182261,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia"
"1795874","Burkholderia sp. PAMC 28687",17,63828,0.497745253004506,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia"
"1855726","Burkholderia sp. KK1",17,47951,0.52255852388519,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia"
"2268024","Ephemeroptericola cinctiostellae",17,33984,0.523802909741371,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ephemeroptericola"
"96942","Vitreoscilla sp. C1",17,40383,0.487346546547667,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Vitreoscilla"
"1940790","Sedimentisphaera cyanobacteriorum",17,26290,0.594488805481786,"Bacteria","Planctomycetes","Phycisphaerae","Sedimentisphaerales","Sedimentisphaeraceae","Sedimentisphaera"
"1936990","Nitrospira sp. KM1",17,40810,0.493279934362972,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira"
