"","identity","degree","betweenness","eigenvector","Kingdom","Phylum","Class","Order","Family","Genus"
"39485","Lachnospira eligens",12,144476,1.42055438149177e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira"
"881","Desulfovibrio vulgaris",12,76210,3.99938975648363e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"839","Prevotella ruminicola",11,129818,0.00036962901904206,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"388950","Pontibacter akesuensis",11,181131,8.64869571843589e-06,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter"
"2694929","Pontibacter russatus",11,111097,0.00166177609753156,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter"
"61624","Paenibacillus mucilaginosus",10,256144,7.4833123684887e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"1406","Paenibacillus polymyxa",10,70955,1.95200287188677e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"1613","Limosilactobacillus fermentum",10,97579,7.23855618426518e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus"
"158836","Enterobacter hormaechei",10,17054,3.39027054308294e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter"
"182773","Clostridium isatidis",9,51257,2.54920443204512e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"2094119","Mycobacterium basiliense",9,154697,4.07624036582344e-06,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"28028","Corynebacterium flavescens",9,175287,1.00805733776365e-07,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"35554","Geobacter sulfurreducens",9,210994,6.0143377891858e-06,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"2594003","Ferrovibrio terrae",9,125735,1.10872224810169e-07,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Ferrovibrio"
"2650158","Bacteroides sp. HF-5141",8,26609,1,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"28112","Tannerella forsythia",8,15687,0.000269968505366554,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Tannerella"
"28132","Prevotella melaninogenica",8,17794,0.000286726990745898,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"2039166","Chryseobacterium sp. 6424",8,83062,1.2201545500722e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"2502781","Hymenobacter jejuensis",8,99872,0.000789751860242379,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"1538644","Sphingobacterium sp. ML3W",8,81812,0.00105267403712299,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"1912897","Blautia argi",8,44439,4.30648718201013e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"351091","Oscillibacter valericigenes",8,55198,0.000563626788015338,"Bacteria","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","Oscillibacter"
"1496","Clostridioides difficile",8,39093,1.37004999253344e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridioides"
"1492","Clostridium butyricum",8,26489,2.79838931453485e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"394958","Clostridium taeniosporum",8,28641,2.22685677912973e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"1494","Clostridium cochlearium",8,149016,1.54733672573476e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"69823","Selenomonas sputigena",8,50713,5.13937647731404e-07,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas"
"1536771","Paenibacillus sp. FSL R5-0912",8,88729,4.80032913615937e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"49283","Paenibacillus thiaminolyticus",8,68165,4.30043839449438e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"1616788","Paenibacillus bovis",8,91415,3.98942123669953e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"2709784","Bacillus sp. KH172YL63",8,79205,1.31262572080899e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
