"","identity","degree","betweenness","eigenvector","Kingdom","Phylum","Class","Order","Family","Genus"
"33070","Synechococcus lividus",18,41008,0.866563237754299,"Bacteria","Cyanobacteria","","Synechococcales","Synechococcaceae","Synechococcus"
"366522","Sulfurospirillum cavolei",18,68721,0.418374397784861,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Sulfurospirillum"
"1536773","Paenibacillus sp. FSL R7-0331",17,43326,0.196536999152771,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"244734","Bradyrhizobium betae",17,27664,0.879501750627635,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"320497","Neoasaia chiangmaiensis",17,48186,0.522500427215636,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Neoasaia"
"2735434","Paraburkholderia sp. PGU19",17,55319,0.672622659042212,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia"
"51515","Dehalobacterium formicoaceticum",16,45220,0.237463722190783,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Dehalobacterium"
"529884","Rhodoluna lacicola",16,29492,0.743382798338109,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Rhodoluna"
"262209","Janibacter melonis",16,34076,0.665120969055213,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter"
"1179673","Oerskovia sp. KBS0722",16,37201,0.589377908153003,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Oerskovia"
"560555","Mycobacterium mantenii",16,27766,0.792738316863734,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"2714938","Nocardioides sp. HDW12A",16,23002,0.757537032902953,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"2483798","Nocardioides sp. 603",16,36127,0.60443394932125,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"582","Morganella morganii",16,34419,0.415028232809298,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella"
"82983","Obesumbacterium proteus",16,46631,0.611884611625363,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Obesumbacterium"
"2498848","Pseudomonas sp. MPC6",16,62997,0.540728445264898,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"2520507","Shewanella maritima",16,52122,0.468907639724415,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
"2055893","Halalkaliarchaeum desulfuricum",16,43346,0.74786374397262,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Halalkaliarchaeum"
"2583824","Halostella pelagica",16,66394,0.521904585933131,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halostella"
"1917441","Streptococcus ruminantium",15,31101,0.770249085652544,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"1358","Lactococcus lactis",15,44855,0.605197246984581,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"1623","Ligilactobacillus ruminis",15,38906,0.737666084895927,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus"
"1607","Loigolactobacillus Lactobacillus bifermentans",15,40722,0.191918636377542,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Loigolactobacillus"
"1963025","Geobacillus sp. 46C-IIa",15,40533,0.54714791096571,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus"
"370764","Microbacterium pygmaeum",15,17131,0.72729427422396,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium"
"2714933","Leucobacter sp. HDW9A",15,37343,1,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter"
"1646","Renibacterium salmoninarum",15,40614,0.394034753680377,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Renibacterium"
"2714931","Sanguibacter sp. HDW7",15,24847,0.634176752121105,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Sanguibacteraceae","Sanguibacter"
"39692","Mycolicibacterium parafortuitum",15,41168,0.583056112134416,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycolicibacterium"
"146017","Mycolicibacterium boenickei",15,22226,0.951933965744882,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycolicibacterium"
"2487344","Mycobacterium sp. DL90",15,20216,0.778781906754679,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"1547487","Mycobacterium sp. ELW1",15,31153,0.737723853497904,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"169292","Corynebacterium aurimucosum",15,28105,0.61635706963526,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"2575373","Nocardioides sp. dk3136",15,30940,0.708781865275607,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"604330","Olsenella umbonata",15,27149,0.771401577368996,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella"
"142651","Mycoplasma phocidae",15,21380,0.612196145730241,"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma"
"891974","Raoultella Plautia stali symbiont",15,33691,0.60605992551682,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella"
