"","identity","degree","betweenness","eigenvector","Kingdom","Phylum","Class","Order","Family","Genus"
"1280","Staphylococcus aureus",24,160124,1,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"185007","Pseudobutyrivibrio xylanivorans",19,66893,0.00346122638336671,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Pseudobutyrivibrio"
"185300","Paludibacter propionicigenes",16,72524,0.000103892585208486,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae","Paludibacter"
"29322","Eubacterium [Eubacterium] cellulosolvens",14,79726,0.0129394206049956,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium"
"881","Desulfovibrio vulgaris",14,19009,6.10315940332421e-07,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"2321403","Chryseolinea soli",13,159189,0.00996357059394807,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Fulvivirgaceae","Chryseolinea"
"9","Buchnera aphidicola",13,47345,1.49680503340353e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Buchnera"
"644","Aeromonas hydrophila",13,4418,0.466929655030613,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas"
"1642647","Proteiniphilum saccharofermentans",12,27982,9.61898661599765e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum"
"29370","Lacrimispora sphenoides",12,45294,0.00600330712632425,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lacrimispora"
"28135","Prevotella oris",11,10452,3.24491216076839e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"208479","Enterocloster bolteae",11,38453,0.000924074595983361,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Enterocloster"
"290053","Bacteroides helcogenes",10,35099,0.00252469317718462,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"28132","Prevotella melaninogenica",10,16976,2.48970338988289e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"652716","Prevotella sp. oral taxon 299",10,34468,2.17236829197181e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"28112","Tannerella forsythia",10,65903,0.000175556071018703,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Tannerella"
"2479767","Blautia sp. SC05B48",10,10818,0.00161938847485796,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"89153","Lachnoclostridium [Clostridium] hylemonae",10,13672,0.00716759649573531,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"29552","Acholeplasma axanthum",10,20278,1.07393750484664e-07,"Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma"
"550","Enterobacter cloacae",10,28716,0.028928314791808,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter"
"2715212","Bacteroides sp. CBA7301",9,17956,0.000975915170056792,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"28119","Bacteroides zoogleoformans",9,31914,0.00183085332172772,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1717717","Labilibaculum antarcticum",9,7584,5.22280335911627e-07,"Bacteria","Bacteroidetes","Bacteroidia","Marinilabiliales","Marinifilaceae","Labilibaculum"
"351091","Oscillibacter valericigenes",9,19270,0.000112056762862052,"Bacteria","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","Oscillibacter"
"1561","Clostridium baratii",9,13203,2.25884335112714e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"2495430","Curtobacterium sp. Csp2",9,6168,0.270534196046651,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium"
"1660","Schaalia odontolytica",9,18218,2.81902011438122e-05,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Schaalia"
"28901","Salmonella enterica",9,30801,0.525721376490654,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella"
"1765967","Acidihalobacter ferrooxydans",9,8099,0.229314816126417,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Acidihalobacter"
"85698","Achromobacter xylosoxidans",9,69489,0.0187520210133963,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter"
"820","Bacteroides uniformis",8,8582,3.55453598038129e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"839","Prevotella ruminicola",8,12122,2.56286643786813e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"36874","Porphyromonas cangingivalis",8,18104,2.53079723456932e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"496056","Anseongella ginsenosidimutans",8,24299,1.53854094699735e-05,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Anseongella"
"1912897","Blautia argi",8,80225,0.0284198979255482,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"185008","Butyrivibrio hungatei",8,32093,0.00390967124155744,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"2721621","Caproiciproducens sp. 7D4C2",8,37938,0.000195576556334254,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Caproiciproducens"
"1303","Streptococcus oralis",8,20514,0.000145232970155164,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"294","Pseudomonas fluorescens",8,8347,0.225970718644908,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"729","Haemophilus parainfluenzae",8,5043,0.000145170013522085,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
